code,description
NX299,Analyse Exoom; NEURO Ataxie Volwassenen
NX30,analyse NGS ONCO; borst/ei aanvullend
NX301,Analyse Exoom; DYST Dystonie
NX302,Analyse Exoom; EPI Volledig Epilepsie Genpanel
NX303,Analyse Exoom; EPI Benigne fam neo/infan convulsies
NX304,EPI Necrotiserende encefalopathie
NX305,Analyse Exoom; EPI Koortsgerelateerde convulsies
NX306,Analyse Exoom; FOSFA Hyper-/ en Hypofosfatemie
NX307,Analyse Exoom; OA Ontwikkelingsachterstand en/of aangeboren
NX308,Analyse Exoom; MDL Very early onset inflammatory bowel disea
NX309,Analyse Exoom; PID Autoinflammatoir
NX31,analyse NGS ONCO; borst/ei/maag/darm
NX310,Analyse Exoom; PID B cel pathologie
NX311,Analyse Exoom; PID HIES syndromen
NX312,Analyse Exoom; PID HLH/Immuundisregulatie
NX313,Analyse Exoom; PID (Severe) combined immunodeficiency ((S)CI
NX314,Analyse Exoom; PID (totaal)
NX315,Analyse Exoom; META Stofwisseling
NX317,Analyse Exoom; MDL Pancreatitis
NX318,Analyse Targeted; GROEI Kleine lengte
NX319,Analyse Exoom; LONG Interstitiële longziekten
NX32,analyse NGS ONCO; maag/darm basis
NX320,Analyse Exoom; HVZ Cardiomyopathie en Noonan syndroom
NX321,Analyse Exoom; HVZ Cardiomyopathie
NX322,Analyse Exoom; HVZ Aritmie
NX323,Analyse Exoom; NEURO Ataxie Early onset
NX324,Analyse Exoom; NEURO Dementie
NX325,Analyse Exoom; HVZ LQT
NX326,Analyse Exoom; 5GPM genpanel 5GPM rekening houdend met non p
NX327,Analyse Exoom; 5GPM genpanel 5GPM
NX328,Analyse Exoom; CHM Congenitale afwijkingen
NX329,Analyse Exoom; DYST Dystonie
NX33,analyse NGS ONCO; maag/darm aanvullend
NX330,Analyse Exoom; DER ED
NX331,Analyse Exoom; OA Ontwikkelingsachterstand en/of aangeboren
NX332,Analyse Exoom; CHM Heterotaxie
NX333,Analyse Exoom; DCM KinderDCM
NX334,Analyse Exoom; CHM Linkszijdige hartafwijkingen
NX335,Analyse Exoom; META Stofwisseling
NX336,Analyse Exoom; MYO Myoclonus kind
NX337,Analyse Exoom; NOON Noonan syndroom
NX338,Analyse Exoom; FERTI Prematuur Ovarieel Falen (POF)
NX339,Analyse Exoom; HVZ Pulmonale arteriële hypertensie en Noonan
NX34,analyse NGS ONCO; pancreas
NX340,Analyse Exoom; HVZ Pulmonale arteriële hypertensie
NX341,Analyse Exoom; NEURO Spastische paraplegie
NX342,Analyse Exoom; NEURO Ataxie Volw en Spastische paraplegie
NX343,Analyse Exoom; 5GPM genpanel 5GPM  (i.g.v. incompleet trio)
NX344,Analyse Exoom; 5GPM Prenatale 5GPM
NX345,Analyse Exoom; 5GPM Prenatale 5GPM rekening houdend met non
NX346,Analyse Exoom; MYO Myoclonus volwassenen
NX347,Analyse Targeted; Losse genen
NX348,Analyse Targeted; Borstkanker
NX349,Analyse Targeted; Borstkanker en LF
NX35,analyse NGS ONCO; endocrien
NX350,Analyse Targeted; Darmkanker
NX351,Analyse Targeted; Darmpoliepen
NX352,Analyse Targeted; Eierstokkanker
NX353,Analyse Targeted; Endocrinologie-(bij)schildklierkanker
NX354,Analyse Targeted; Endocrinologie-feochromocytomen
NX355,Analyse Targeted; Endocrinologie-NET
NX357,Analyse Targeted; Huidkanker
NX359,Analyse Targeted; Kinderonco-meningeoma/schwannoma
NX36,analyse NGS ONCO; nier
NX363,Analyse Targeted; Li Fraumeni syndroom
NX364,Analyse Targeted; Longkanker
NX365,Analyse Targeted; Maagkanker
NX366,Analyse Targeted; Nierkanker
NX367,Analyse Targeted; Niet-endocriene alvleesklierkanker
NX368,Analyse Targeted; Prostaatkanker
NX369,Analyse Targeted; Retinoblastoom
NX37,analyse NGS ONCO; huid
NX371,Analyse Targeted; AGL
NX372,Analyse Targeted; G6PC
NX374,Analyse Targeted; EDA
NX375,Analyse Targeted; RET
NX379,Analyse Targeted; PHOX2B
NX38,analyse NGS ONCO; kind/neuro
NX383,Analyse Targeted; L1CAM
NX384,Analyse Targeted; SHOX
NX385,Analyse Targeted; IGHMBP2
NX386,Analyse Targeted; COL2A1
NX387,Analyse Targeted; CFTR
NX388,Analyse Exoom; DCM KinderDCM (i.g.v. incompleet trio)
NX389,"Analyse Exoom; META Stofwisseling (i.g.v. incompleet trio, a"
NX39,analyse NGS ONCO; leukemie/lymfoom
NX390,Analyse ExoomINH; Mitochondriëele aandoeningen (igv incompl
NX391,"Analyse Exoom; OA Ontw achterstand (i.g.v. incompleet trio,"
NX392,Analyse Exoom; PID Autoinflammatoir
NX393,Analyse Exoom; PID (totaal)
NX396,Analyse Exoom; DER Ichthyosis totaal
NX397,Analyse Exoom; DER Ichthyosis - geïsoleerd
NX398,Analyse Exoom; DER Ichtyosis syndromaal
NX399,Analyse Exoom; DER Palmoplantaire Keratoderma
NX40,analyse NGS ONCO; prostaat
NX400,Analyse Exoom; DER Epidermolysis Bullosa
NX401,Analyse Exoom; DER ED
NX402,Analyse Exoom; DER Ectodermale Dysplasie syndromaal
NX403,Analyse Exoom; HAE Angio-oedeem
NX404,Analyse ExoomINH; DCM KinderDCM
NX405,Analyse ExoomINH; DCM KinderDCM (igv incompleet trio)
NX406,Analyse Exoom; CHM Congenitale afwijkingen
NX407,Analyse Exoom; CHM Heterotaxie
NX408,Analyse Exoom; CHM Linkszijdige hartafwijkingen
NX409,Analyse Exoom; PID CMC
NX410,Analyse Exoom; PID (Severe) combined immunodeficiency ((S)CI
NX411,"Analyse Exoom; PID B cel pathologie "
NX412,Analyse Exoom; EPI Volledig Epilepsie Genpanel
NX413,Analyse Exoom; NEURO Dementie
NX414,Analyse Exoom; MDL Very early onset inflammatory bowel disea
NX415,Analyse ExoomINH; OA Ontwikkelingsachterstand en/of aangebor
NX416,Analyse ExoomINH; OA Ontw achterstand (igv incompleet trio
NX417,Analyse Targeted; Prostaatkanker
NX418,Analyse Exoom; MDL Pancreatitis
NX419,Analyse Exoom; NEURO Spastische paraplegie
NX420,Analyse Exoom; NEURO Ataxie Volw en Spastische paraplegie
NX421,Analyse ExoomINH; META Stofwisseling
NX422,"Analyse ExoomINH; META Stofwisseling (igv incompl trio, a"
NX425,Analyse ExoomINH; 5GPM genpanel 5GPM
NX426,Analyse ExoomINH; 5GPM genpanel 5GPM (igv incompl. trio)
NX427,Analyse ExoomINH; 5GPM genpanel 5GPM igv nonpenetrantie
NX428,Analyse ExoomINH; 5GPM Prenatale 5GPM
NX429,Analyse ExoomINH; 5GPM Prenatale 5GPM igv nonpen
NX43,analyse NGS ONCO; borst/ei aanvullend
NX430,Analyse Exoom; NOON Noonan syndroom
NX431,Analyse Exoom; HVZ Pulmonale arteriële hypertensie en Noonan syndroom
NX432,Analyse Exoom; HVZ Cardiomyopathie en Noonan syndroom
NX433,Analyse Exoom; MDL Cholestase Acuut Leverfalen
NX434,Analyse Exoom; DER Chronische Jeuk-volledig
NX435,Analyse Targeted; Borstkanker en PTEN
NX436,Analyse Targeted; Borst- en eierstokkanker
NX437,Analyse Targeted; Darmkanker en -poliepen
NX439,Analyse Exoom; DER Chronische Jeuk-basis
NX44,analyse NGS ONCO; borst/ei/maag/darm
NX447,Analyse Targeted v2; EDA
NX448,Analyse Targeted v2; RET
NX46,analyse NGS ONCO; maag/darm aanvullend
NX460,Analyse Targeted v2; CFTR
NX461,Analyse Targeted v2; GROEI Kleine lengte
NX462,Analyse Targeted v2; Losse genen
NX463,Analyse Targeted v2; Borstkanker
NX464,Analyse Targeted v2; Borstkanker en LF
NX465,Analyse Targeted v2; Darmkanker
NX466,Analyse Targeted v2; Darmpoliepen
NX467,Analyse Targeted v2; Eierstokkanker
NX468,Analyse Targeted; Eierstokkanker
NX471,Analyse Targeted v2; Endocrinologie-feochromocytomen
NX472,Analyse Targeted v2; Endocrinologie-NET
NX474,Analyse Targeted v2; Huidkanker
NX484,Analyse Targeted v2; Niet-endocriene alvleesklierkanker
NX485,Analyse Targeted v2; Prostaatkanker
NX487,Analyse Exoom; LONG Interstitiële longziekten
NX488,Analyse ExoomINH; OA Ontwikkelingsachterstand en/of aangebo
NX489,"Analyse ExoomINH; OA Ontw achterstand (igv incompl. trio,etc"
NX490,Analyse Exoom; NEURO Ataxie Volwassenen
NX491,Analyse Exoom; NEURO Ataxie Volw en Spastische paraplegie
NX492,Analyse Exoom; NEURO Ataxie Early onset
NX493,Analyse Exoom; HVZ Cardiomyopathie en Noonan syndroom
NX494,Analyse Exoom; HVZ Cardiomyopathie
NX495,Analyse ExoomINH; DCM KinderDCM
NX496,Analyse Exoom; DCM KinderDCM (i.g.v. incompleet trio)
NX497,Analyse Exoom; HVZ LQT
NX498,Analyse Exoom; FERTI Niet Obstructieve Azoospermie (NOA)
NX499,Analyse ExoomINH; 5GPM genpanel 5GPM
NX500,Analyse ExoomINH; 5GPM genpanel 5GPM (igv incompl. trio)
NX501,Analyse ExoomINH; 5GPM genpanel 5GPM igv nonpenetrantie
NX502,Analyse ExoomINH; 5GPM Prenatale 5GPM
NX503,Analyse ExoomINH; 5GPM Prenatale 5GPM igv nonpenetrantie
NX504,Analyse Exoom; DER ED syndromaal
NX505,Analyse Exoom; DYST Dystonie
NX506,Analyse Exoom; MYO Myoclonus kind
NX507,Analyse Exoom; MYO Myoclonus volwassenen
NX508,Analyse Exoom; EPI Volledig Epilepsie Genpanel
NX510,Analyse Targeted v2; Borst- en eierstokkanker
NX511,Analyse Targeted v2; Darmkanker en –poliepen
NX512,Analyse Exoom; PCS Preconceptie (i.g.v. medische indicatie)
NX55,analyse klinisch exoom
NX56,analyse NGS Cardio; subpanel PAH
NX59,Specifieke vraagstelling Exoom
NX60,analyse NGS Preconceptie
NX61,analyse NGS DER; subpanel FH
NX62,Analyse Exoom; NEURO Ataxie volwassenen
NX63,Analyse Exoom; NEURO Spastische paraplegie
NX64,Analyse Exoom; NEURO Dementie
NX65,Analyse Exoom; NEURO Parkinson_parkinsonisme
NX66,Analyse Exoom; NEURO NBIA
NX67,Analyse Exoom; NEURO Ataxie volw en Spastische paraplegie
NX68,Analyse Exoom; kinder DCM
NX69,Analyse Exoom; LEVER cholestase
NX70,Analyse Exoom; Myoclonus volwassen
NX71,Analyse Exoom; Myoclonus kind t/m 17
NX72,analyse exoom; TID
NX73,analyse NGS Preconceptie; PCSp
NX74,Analyse Exoom
NX75,Analyse NGS ONCO; losse genen
NX76,Analyse NGS CARDIO; losse genen
NX77,Analyse NGS ONCO; Borstkanker
NX78,Analyse NGS ONCO; Eierstokkanker
NX79,Analyse NGS ONCO; Darmkanker
NX80,Analyse NGS ONCO; Darmpoliepen
NX81,Analyse NGS ONCO; Maagkanker
NX82,Analyse NGS ONCO; Niet-endocriene alvleesklierkanker
NX83,Analyse NGS ONCO; Endocrinologie-feochromocytomen
NX84,Analyse NGS ONCO; Endocrinologie-NET
NX85,Analyse NGS ONCO; Endocrinologie-(bij)schildklierkanker
NX86,Analyse NGS ONCO; Nierkanker
NX87,Analyse NGS ONCO; Huidkanker
NX88,Analyse NGS ONCO; Kinderonco-meningeoma/schwannoma
NX89,Analyse NGS ONCO; Kinderonco-neuroblastoom
NX90,Analyse NGS ONCO; Kinderonco-medulloblastoom
NX92,Analyse NGS ONCO; Leukemie/Lymfoom
NX93,Analyse NGS ONCO; Prostaatkanker
NX94,Analyse NGS ONCO; Retinoblastoom
NX95,Analyse NGS ONCO; Li Fraumeni syndroom
NX96,Analyse Exoom; NEURO Ataxie Early onset
NX97,Analyse Exoom; NEURO Dandy Walker
NX98,Analyse Exoom; NEURO Joubert like
NX99,Analyse Exoom; NEURO PCH
OAS1,analyse chromosomale Y deleties
OAS3,analyse chromosomale Y deleties -devyser
ONCO1,MLPA analyse MEN1
P1,Mutatie analyse PANK2 gen
P10,Mutatie analyse PLA2G6 gen
P3,MLPA analyse PANK2 / PLA2G6
PAH01,Mutatie analyse EIF2AK4 gen
PGx,farmacogenetisch profiel
QF1,trisomie 13;18;21; XY
QF2,trisomie 13;18;21;XY en uitsluiten maternale bijmenging
QF4,trisomie 13;18;21;XY en uitsluiten MCC na NIPT
R1,Mutatie analyse RB1 gen
R2,MLPA analyse MYCN
R26,MLPA analyse RB1
R28,RB1 promotor hypermethylatie analyse
R3,intragene microsatellieten RB1
RET,Mutatie analyse MECP2 gen
RT10,Mutatie analyse CDKL5 gen
RT12,MLPA analyse MECP2
RT13,Mutatie analyse FOXG1 gen
RT14,Mutatie analyse MEF2C gen
S1,Homozygote deletie analyse SMN1
S12,Mutatie analyse IGHMBP2 gen
S22,MLPA analyse IGHMBP2
S4,MLPA analyse SMN1
S6,Mutatie analyse SMN1 gen
SC1,Mutatie analyse ATXN1 (SCA1) gen
SC2,Mutatie analyse ATXN2 (SCA2) gen
SC3,Mutatie analyse ATXN3 (SCA3) gen
SC4,Mutatie analyse CACNA1A (SCA6) gen
SC5,Mutatie analyse ATXN7 (SCA7) gen
SC9,Mutatie analyse PDYN gen
SCA36,Mutatie analyse NOP56 (SCA36) gen
SH1,Mutatie analyse SHOX1 gen
SMA01,MLPA analyse SMN1 en SMN2
SMA02,MLPA analyse SMN1 en SMN2 PCS
SMS1,Mutatie analyse RAI1 gen
SMS2,MLPA analyse RAI1 17p112 HDAC4 2q37
SNP,SNP array diagnostiek
SNP10,Dragerschap prenataal
SNP11,Dragerschap UPD
SNP12,CNV + LOH detectie CLL
SNP13,CNV + LOH detectie Kahler
SNP14,Translocatie(s)
SNP15,Specifieke vraagstelling array
SNP16,Aanvullende analyse
SNP17,"Prenataal overig "
SNP18,CNV + LOH detectie MDS
SNP2,"CNV detectie "
SNP3,LOH detectie
SNP4,"CNV + LOH detectie "
SNP5,"CNV detectie prenataal "
SNP7,CNV + LOH detectie prenataal
SNP8,UPD detectie
SNP9,Dragerschap CNV
ST3,Mutatie analyse COL2A1 gen
ST4,MLPA analyse COL2A1
ST5,sequentie analyse COL11A1
SVP01,Analyse targeted SVP; KRT5
SVP04,
SVP05,Analyse targeted SVP; AGL
SVP06,Analyse targeted SVP; G6PC
SVP08,Analyse targeted SVP; ED1
SVP14,Analyse targeted SVP; RET
SVP18,
SVP21,Analyse targeted SVP; ASCL1
SVP22,Analyse targeted SVP; L1CAM
SVP26,Analyse targeted SVP; SHOX
SVP27,Analyse targeted SVP; IGHMBP2
SVP28,
SVP29,Analyse targeted SVP; COL2A1
SVP30,Analyse targeted SVP; meerdere losse genen
SVP31,Analyse targeted PCS; CFTR
V01,Cosegregatie-onderzoek VUS
WGS1,whole genome sequencing 5GPM
c29,hoge resolutie array
sh2,MLPA analyse SHOX
